Calculating shorest paths...
Calculating shorest paths... done.
total=158K; failed=26189; failrate=0.165753; stretch=1.028882;
N=7; remotes=0.0000; neighs= 4.5714;
total=159K; failed=26355; failrate=0.165755; stretch=1.028927;
N=7; remotes=0.0000; neighs= 4.5714;
total=160K; failed=26524; failrate=0.165775; stretch=1.028912;
N=7; remotes=0.0000; neighs= 4.5714;
total=161K; failed=26684; failrate=0.165739; stretch=1.028880;
N=7; remotes=0.0000; neighs= 4.5714;
total=162K; failed=26863; failrate=0.165821; stretch=1.028904;
N=7; remotes=0.0000; neighs= 4.5714;
total=163K; failed=27043; failrate=0.165908; stretch=1.028950;
N=7; remotes=0.0000; neighs= 4.5714;
total=164K; failed=27208; failrate=0.165902; stretch=1.028971;
N=7; remotes=0.0000; neighs= 4.5714;
total=165K; failed=27366; failrate=0.165855; stretch=1.02
